IDText,Text,cleaned_text
TXT0011,ganjar 3kali lipat anis saat anis tanya nilai wo dipancing anis keluarin blunder angka 11itu penghinaan beda dan wajar dgan angka 5,beberapa isu basi terkait 7ixq1mv dan fakta sebenarnya bisa dilihat di beberapa diantaranya ãââ anies akan mengganti pancasila dengan sistem khilafah ãââ terkait toleransi berbagai penganut agamaãââanies blunder soal data rumah ibadah di jakarta ãââ anies mengkhianati prabowo untuk jadi capres saat kebenaran dan fakta atas suatu hal telah jelas tapi tetap disangkalãââentah karena niat jahat nafsu atau kepentingan pribadiãââbenar bahwa seringkali yang buta itu bukan mata tapi hati yang buta reply borryshasian
TXT0012,malumaluin dari gemoy ke minyak gorengãââ apakah tidak ada cara kampanye yang lebih terhormat u masyarakat dan demokrasi kenapa masyarakat dan demokrasi diukurukur dg sembako dan rupiah contoh lah desak aniesãââ terhormat re shamsiali2,ganjar pranowomahfud md menekankan pentingnya persiapan dalam kebutuhan dasar alutsista dari tiga matra yaitu darat laut dan udaraganjar mahfud m3nang reply allaaga1
TXT0013,saking pen junjungan mrk brkuasa ap sj dlanggar dan sj mlempem letoy hdapi planggaran mrk yg tak bretika ãâÿââãâÿââãâÿââ re kurusetra91,calon presiden capres nomor urut 1 anies baswedan sudah siap dengan kemampuannya menghadapi debat ketiga debat ketiga akan menyangkut tema soal pertahanan keamanan hubungan internasional dan geopolitik download di app store play store reply metro_tv
TXT0014,manifesto gerakan rakyat untuk perubahan lintas profesi di pantura jawa tengah kompak dukung aniesmuhaimin amin re oposisicerdas,capres ganjar pranowo punya rencana besar dia bakal bersinergi sama perguruan tinggi buat program yang membawa perubahan positif
TXT0015,masyaallah gegap gempita para santriwansantriwati saat menyambut kehadiran ganjar ke ponpes an nawawi berjan purworejo 31122023 selain semarak dari barisan santri dalam kunjungannya ganjar pranowo turut mendapat doa terbaik supaya hajatnya menjadi kepala negara untuk memberikan kesejahteraan kepada rakyat indonesia dikabulkan oleh tuhan yang maha esa aamiin re aan_muba,dengan pendapatan apbd jumbo paling besar seindonesia mencapai rp 77
TXT0016,sesi saling tanya antar capres digunakan ganjar dan anies kompak untuk menyikat prabowo anies bertanya ke prabowo hubungannya etika pemimpin negara dengan pertahanan negara di sini anies bermaksud menyerang etika jokowi soal pencawapresan gibran juga terkait adanya kader gerindra yg menjadi rekanan kemhan mereka ialah glenny kairupan yudi magio yusuf prasetyo hadi angga raka prabowo komisaris dari pt tmi prabowo menjawab ãââœjangan menghasut dan menyesatkan rakyat demi ambisi pribadi begitu prof anies baswedan prabowo berpendapat anies tak layak bicara etika untuk ganjar prabowo menjelaskan kelayakan alutsista yg ia beli masih layak 15 tahun pakai ia membandingkan membeli alutsista baru selain nominalnya besar mengurus pembeliannya memakan waktu bertahuntahun menurut prabowo setelah dibeli baru bisa digunakan 3 tahun selanjutnya re mazzini_gsp,h kenyataan yang timbul menghancurkan pribadi yang isinya penuh kebencian ke ayahbowo adalahkita menimbulkan dampak emosional di pemilih dukungantulus untuk02 0ta1xpchveyhoebrkxuugg2
TXT0017,setuju jgn sampai pajak dinaikkan 23 bisa amblas keuangan generasi z dukung yg nyata saja ganjarmahfud lah pilihannya ganjarmahfud lah jawabannya,mas ganjar bawa data dan memberikan pertanyaan berdasar data bisa saja dijawab oleh pak prabowo tanpa bilang data dari mas ganjar salah tapi karena pak prabowo bilang datanya salah wajar jika mas ganjar minta ditunjukkan mana data yang benar gak ada urusan sama waktu yang singkat reply pangeransiahaan
TXT0018,dengan ganjarmahfud kita bisa berharap peningkatan investasi riset dan inovasi industri unggulan akan menjadi kenyataan happy new year,trend on twitter x anies bubble meroket fenomena fans kpop join amin isme reply yurissa_samosir
TXT0019,kampanye politik anies dalam pilgub dki mempengaruhi dinamika masyarakat di mana generasi tua memendam kebencian yang sulit diperbaiki oleh generasi muda berdampak pada kohesi sosial antar kelompok usia dalam populasi,iucafpxpruovnm3cvb2dtyi wait wait pak ada bukti pak anies gunakan politik identitas bukankah justru ahok yang terang terangan bahkan sebelum pemilihan kepala daerah saja sudah memantik perselisihan misal gunakan password wifi dengan kata kafir berpikir adil itu memang sulit pak reply iahk25
TXT0020,anies mengatakan bansos berasal dari uang pajak rakyat bukan berasal dari pribadi seseorang untuk kepentingan masyarakat re kumparan,siti atikoh mengunjungi kantor tpd ganjarmahfud sumatera selatan atikoh mendapat kejutan dari penyandang tuna rungu simpatisan ganjarmahfud di hari tuna rungu nasional 2024 atikoh diberikan kejutan berupa kaos warna merah bertuliskan ibu negara indonesia di bagian depan tidak hanya diberikan kejutan atikoh juga diajarkan bahasa isyarat reply pdi_perjuangan
TXT0021,upaya pemberantasan korupsi anies ingin kembalikan kekuatan kpk lewat revisi uu re tempodotco,abah anies ingin mengangkat martabat petani agar tidak terus menerus menerima bansos karena penghasilannya cukup reply ekowboy2
TXT0022,ãââ ãâ taufikdamasãâ netizenganstaãââ qtãâ netizenganãâ kakekhalalãâ antikorupsi setya novanto sebut ganjar pranowo terima duit ektp us 500 ribuãâ gqpjrpvqw9ãâ ganjar mahfud hebat nelayanãâ sejahtera,calon presiden ri ganjar pranowo yakin bersama mahfud md regulasi hukum investasi bakal lebih mudah dipahami oleh semua pihak
TXT0023,capres cawapres ganjar pranowo dan mahfud md mari bersamasama kita buka jalan bagi nelayan yang terjebak kredit macet sebagai hasilnya mereka dapat melangkah menuju kebebasan finansial,pak michael gaya bicara keras dan terkesan emosional tapi tetap berisiãâÿââ¹ tidak perlu jangan berarti prabowo itu sudah menggunakan kekerasan militer untuk orang yang sifatnya pak lurah bu hesti anies deserve better asnawi videotron pegang miftah papua amien rais reply riweh_banget
TXT0024,jtoybntghljubsxbbykfriwqvndlunz3qjo mwzndoy6gpwxedlhaiexkudeno8s zmirzll4qb36iubvn8gcncwqqeplw apalagi kita sebgai negara kepulauan bagian pasifik utara kita harus punya 3 selatan 2 bagian barat 3 dan timur 2 ngra di dua samudra colek pak,paslon 03 ganjar pranowo yakin bersama mahfud md regulasi hukum investor di indonesia bakal lebih bersahabat dan terukur
TXT0025,kehadiran sosokãâ capresãâ nomor urut tiga pada pemilu 2024 ganjar pranowo di tpi desa karanganyar kabupaten rembang membuat nelayan setempat bersuka cita mereka senang ketika mengetahuiãâ ganjar pranowoãâ membawa program unggulan berupa penghapusan kredit macet atau utang bagi para nelayan ganjar menyebutãâ utangãâ yang dimiliki nelayan tidak besar dan bisa untuk dibantu dilunaskan pemerintah pihaknya sudah menghitung jumlah kredit macet di sektor perikanan indonesia ganjar mengatakan jumlah kredit macet tidaklah banyak sekitar rp 190 miliar ganjarmahfud,anies sosok ayah yang penuh kehangatan ãâ ãââˆãâšâãâšâ ãââãâœâãââãââ ãªââãââãââœ ãââãâ²âãââãââ ãâªâãâšâµãâž ãââˆãââ pak memang sosok ayah yang penuh kehangatan lihat dalam tayangan video ini tangannya lentur banget menggendong anak kecil tampak luwes tidak kaku dan tidak buatbuatã pasti anakanaknya juga sering merasakan gendongan pelukan dan pelukan beliau kekuatan sejati adalah ketenangan di pelukan ayah reply papa_loren
TXT0026,abah online meroket figur pak anies semakin populer di kalangan anak anak milenial dan anakanak genz gagasan dan gaya komunikasi pak anies tentu berhasil memikat anak anak muda terutama anak anak genz dan ini memberi warna baru dalam kancah berpoltikan re yurissa_samosir,capres ganjar pranowo tidak mainmain ini kolaborasi dengan perguruan tinggi buat program edukatif yang oke punya
TXT0027,habis debat soal pesawat bekas prabowo teken kontrak msn,projo kawal prabowo gibran menang sekali putaran ãâœâšãâÿââãâÿââ reply projo_pusat
TXT0028,ganjar pranowo dan mahfud md pembela kesejahteraan rakyat ganjar mahfud hebat memimpin indonesia,tempodotco semangat pak ã ã kami akan selalu m3nddukung muã ganjar mahfud hebat
TXT0029,ganjar pranowo itu bukan cuma pemimpin yang mikirin kepentingan diri sendiri tapi juga kepentingan rakyat dan kebebasan berpendapat di masyarakat,anies sesuai selera masyarakat sumatera barat reply kamalmiko
TXT0030,harus nya seperti ini duduk bersila diacara untuk menjawab dan mengklarifikasi atau mengclearkan tuduhan atau isu penculikan dan pelanggaran ham yang dialamatkan kedia agar tidak ada lagi asumsi isu pelanggaran ham dan penculikan hanya muncul saat pilpres re catatan_ali7,abah anies baswedan amp ibu fery farhati tiba di pekanbaru kampanye akbar kedua hari ini ãâÿââ reply mdy_asmara1701
TXT0031,weelehãâ² isue 5 tahunan yg trus dimunculkan cyber hti dkk era orba militer adlah alat yg dikedepankn demi stabilitas politik dri pemerintah yg otoriter adalah sngt tdk logis jika krusuhan yg bgitu masif hanya prabowo yg brtanggung jawab makanya tdk pernah ada pengadilannya,atikoh beberkan solusi ganjarmahfud atasi harga pangan naik
TXT0032,padahal tnp usung anies di dki jadi partai gurem emang ada curut2 geri dra yg layak jadi gubernur re resty_j_cayah,giliran buruh soloraya deklarasi dukung prabowo gibran soloraya reply doddy_h4312
TXT0033,byangin aja orang lebih marah anies gagal mencapai target dp 0 dibanding jokowi gagal menepati janji tidak impor dan memperkuat kpk belum bahas janji yang lain ya gw hingga saat ini masih ga pernah dapet jwbn dari haters anies kenapa mereka tidak se kritia itu thdp janji owi,capres cawapres ganjar pranowo dan mahfud md mengajak semua pihak untuk bersatu menjaga konstitusi atau aturan dasar negara
TXT0034,yang bubarin fpi kan pemerintah pusat bukan anies gak kebayang kayak apa jakarta dengan anies sebagai gubernur kalau fpi belum dibubarkan dukung sih silakan aja tapi jangan denial kalau anies mendapatkan keuntungan dari ormas diskriminatif anies bukan manusia sempurna re redhatjkt,raja dangdut pak haji rhoma irama bertanya tentang seni dan film jika pak anies terpilih jadi presiden desak anies amp slepet imin di jiexpo kemayoran jakarta pusat hari ini senin 29 januari 2024 reply yurissa_samosir
TXT0035,ibaratkan cak imin belimbing matang di pohon anies sindir gibran re oposisicerdas,capres ganjar pranowo akan memberikan ruang bagi masyarakat untuk memberikan masukan dan saran dalam evaluasi pasal karet uu ite
TXT0036,prabowo menilai korupsi merusak kehidupan bangsa membahayakan keselamatan negara salah satu yang ia tawarkan adalah menaikkan gaji para pejabat re nu_online,ini musuh utama gen z anies bertekad basmi praktik ordal dalam penerimaan tenaga kerja di sektor swasta amp pemerintahan dg penegakan aturan reply ekowboy2
TXT0037,pilihlah yang jauh dari radikalisme dan dekat dengan solusi pilih ganjar pranowo,debat caprescawapres ke3 anies menyatakan nilai kemenhan dalam melaksanakan kebijakan nilainya 11 dari 100 jadi menteri saja tidak layak menurut paslon 01
TXT0038,yg sepakat untuk 2024 asal bukan prabowo silahkan retweet kita kabar kan seluruh nusantara bahwa indonesia tdk butuh capres penculikãââœ pelangar ham beratãââœ cawapres perusakãââœ demokrasi dan konstitusiãââœ cukup re eddy_widodo_165,pasangan duet capres cawapres ganjar pranowo mahfud md motor perubahan kredit 35 untuk koprasi dan umkm jadi andalan bisnis lokal sukses terus temantemanjn18a
TXT0039,mantap korupsi akan dibabat sama pak anies,anak muda indonesia the future of this nation is in your hand its the time for change anies for presidentsampaikan yang harus disampaikan kepada teman lainnya karena sudah saatnya adu ide amp gagasantunjukan karyakarya pak anies untuk perubahan indonesia lebih baik lagi reply yurissa_samosir
TXT0040,etika dan kepemimpinan itu di mulai dari lingkungan keluarga wowo menyindir pak anies dan pak anies tetap senyum dan tidak baper giliran balik di sindir oleh pak anies kata pendukung wowo debat malah nyerang personal memang lucu lihat kelakuan pendukung wowo ãâÿââãâÿââ re yurissa_samosir,pak aniesãââs post has reached 26000 likes and 1350573 on dialog capres w kadin tvonenews youtube in 1 days 15 hour 27 minutes ãââ it is the fastest and highest post to reach 26k likes and 13m likes among capresãââs members ââãââˆãâšâ reply aniesbubble
TXT0041,ini gambaran kalo kita kritik pemerintah nanti kritik pak prabowo sebagai menhan aja disebut kritik personal di replyannya ãâÿââ re hwztmf,according to prabowo gaza is opressed because they dont have a sufficient military power this is such a tonedeaf statement coming from a minister of defense reply wapamungkas
TXT0042,ãââµ ãâ ãâ goganjargo ganjar optimis capai pertumbuhan ekonomi 7 sahabatganjarãâ ãâ ganjar menangkanganjar generasigotongroyongãâ ganjar mahfud hebat perempuan maju,ini kejam warga disitu sudah bersedia dibangun jis dengan janji anies untuk memabngun rumah susun bagi mereka setelah rumah itu terbangun mrk ga diberikan haknya padahal anies selaku gubernur selalu menepati janjinya kampung akuarium kampung kunir dan lain-lain apa yang salah rakyat mendapat rumah reply geiszchalifah
TXT0043,ganjar pranowo yang sebelumnya pernah menjabat sebagai anggota dpr dan diusung oleh pdi perjuangan menunjukkan komitmen dan semangat tinggi dalam melayani masyarakat meskipun telah memiliki pengalaman legislatif ia terus berupaya untuk langsung berinteraksi dengan masyarakat meskipun menghadapi tantangan berat ganjar tetap gigih dan berkomitmen untuk memberikan kontribusi positif re pdi_perjuangan,prabowo gibran akan terapkan 17 program ini untuk melancarkan ekonomi biru internasional kontan reply azzrielazaryahu
TXT0044,kawasan ekonomi khusus bakal jadi peluang besar buat investasi dukung ganjarmahfud happy new year,viral anies baswedan dapat ancaman penembakan tim hukum amin siap tempuh jalur hukum reply democrazymedia
TXT0045,keterbukaan dalam kebijakan pemerintahan adalah hak warga prabowo gibran mempromosikan transparansi ini,kasihan pendukung prabowo sudah dibela belain masuk penjara gak diakui reply catatan_ali7
TXT0046,program pasangan capres cawapres ganjar pranowo dan mahfud md solusi jitu buat dorong pertumbuhan ekonomi desa,tempodotco ayo ganjar tuntaskan permasalahan yang ada di indonesia pasti bisa pasti m3nang ã ã semuakerjaã ganjar mahfud hebat ayahbowo adalahkita ãâÿââ
TXT0047,inisiatif ganjarmahfud memberikan harapan baru untuk pertumbuhan ekonomi yang berkeadilan memberdayakan umkm sebagai tulang punggung ekonomi kerakyatan happy new year,wiranto langsung bergerak cepat untuk memberikan dukungan kepada prabowo gibran reply alfisyahrifarah
TXT0048,ini adalah saat yang tepat untuk berinvestasi dalam masa depan indonesia bersama ganjarmahfud happy new year,saya beneran sedih banget kenapa iya orang tuh susah menerima fakta kalau prabowo itu war criminal dan zionistãââ seperti thereãââs so many possibilities kalau beliau kepilih bakal regress demokrasi kita bakal lebih otoriter bahkan banyak menteri progresif yang pasti akan didepakãââ reply moonincancer__
TXT0049,ãâÿâªâ ganjar mahfud hebat betul pak bersihkan indonesia dari korupsi dengan pak ganjar dan mahfud semoga indonesia lebih maju lagi ganjar mahfud hebat,lautan manusia sambut capres nomor urut 1 anies baswedan saat laksanakan giat kampanye ke bone sulawesi selatan sulsel rabu 1712024 anies bertemu dengan masyarakat bone di lapangan sepak bola cina kampanye kali ini cukup spesial lantaran ditemani oleh eks wakil presiden jusuf kalla jk melihat lautan manusia yang antusias menyapa anies ini pun membuat dia merasa takjub dan menegaskan bahwa uang tidak dapat mengobarkan semangat seperti ini simak berita selengkapnya di reply tvonenews
TXT0050,ãâÿââ masyarakat jakarta berharap pak ganjar pranowo dan mahfud md terus bersatu untuk membawa kemajuan dan kesejahteraan ganjar mahfud hebat sikat kkn,baru kali ini ada capres yang mau peluk orang papua mencium tangan anakanak papua biar rakyat yang menilai gak berpengaruh tetap all in prabowo istirahatãâÿââ anies deserve better reply nialubis_
TXT0051,ainunnajib lebih tegang kali lg nembak pemerintah jokowi mulu ganjar malah kg mode cari aman mahfud hebat happy new year,yang sudah yakin vote aniesmuhaimin pada 14 februari 2024 silahkan retweet reply abdulrachimmks
TXT0052,partisipasi aktif warga negara adalah tonggak demokrasi yang sehat prabowo gibran mendorong keterlibatan semua,data yang manaaaaa data lahan pak prabowo itu bagian dari rahasia pertahanan index dan peringkat yang dibaca pak ganjar juga itu rahasia pertahanan astagaaaa reply mamatalkatiri
TXT0053,pak setahu saya tidak pernah menyatakan dukungan kpd aniez ataupun ganjar tapi dia pernah mengatakan drpd negeri ini diserahkan kpd mantan penjahat ham amp demokrasi anies amp ganjar adalah opsi terbaik yg bisa dipilih rakyat mohon koreksi jika salah ãâÿââ re abu_waras,video ini direkam 5 april 2014 dalam acara mengadili anies apakah jadi presiden adalah cita cita anies value pikiran yang dibawa dalam gagasan pak anies memang pemikiran seorang negarawan dari dulu jarang kita dengar pemikiran2 macam beliau dinegeri ini teman-teman reply bangpino__
TXT0054,algoritma instagram dorong popularitas kampanye anies konten reels tembus jutaan dalam sehari re oposisicerdas,pak ganjar dan prof mahfud memperoleh dukungan luas karena keberanian mereka dalam menghadapi dinamika g3opolitik yang tidak terduga
TXT0055,pasangan duet capres cawapres ganjar pranowo dan prof mahfud md lagi fokus bikin regulasi hukum yang gak bikin investor mikir dua kali untuk masuk indonesiajn18a,jk ungkap sebab tanah bob hasan bisa dimiliki prabowo reply cnnindonesia
TXT0056,ganjar yakin bahwa dengan beasiswa kita dapat menciptakan generasi penerus yg unggul,sekarang bawaslu bahkan terkesan yang membenarkan kegiatan paslon 2 kunjungan prabowo ke cilincing yang diwarnai bagi2 uang 100rb dianggap kunjungan sebagai menhan oleh bawaslu terserah klean lahãâÿââ reply 5t3v3n_p3g3l
TXT0057,lagi ngomongin jokowi ya di bantu jadi gubernur jkt lewat prabowo ya,pak prabowo adalah tipe seseorang yang lebih suka menunjukkan bukti kinerjanya daripada sekedar omong kosong belaka reply bella9316530695
TXT0058,dalam acara konsolidasi 45 hari menuju kemenangan ganjarmahfud 30122023 selaku cawapres 03 yakni mahfud md berkomitmen akn hadirkn 21 program unggulan demi terwujudnya kesejahteraan rakyat indonesia dan menariknya program yg dibw ganjarmahfud lebih membawa kemaslahatan re bungkustukang,
TXT0059,kalo kata pak prabowo tidak perlu menjatuhkan agar terlihat lebih unggul 02 paling pas ãâ,jawaban pak anies di luar prediksiulama dari madura jawa timur sampai terkagum kagum dengan pak anies bahkan ulama madura yang bernama bapak kyai fattah mengaku kalah setelah menyimak jawaban dari pak anies di acara cifp 2023 yang lalu reply yurissa_samosir
TXT0060,menjawab 1 bukan tidak terbukti tidak diadili dan tidak diungkap terbukti sudah ada putusan dkpdewan kehormatan perwira berisi pemecatan prabowo subianto dan dinyatakan bersalah atas pelanggaran ham setelah dipecat dan mau diadili beliau kabur ke jordania,nelayan butuh tindakan nyata ganjar pranowo mahfud md bersama kita hadirkan solusi terbaik
TXT0061,aku nangis bangettt di bagian ini janji yang udah direalisasikan oleh anies malah dihalanghalangi oleh pj gubernur enggak tau tujuannya apa tapi yang menderita ya rakyat kecil re dayatpiliang,sewaktu anies bersikap kritis ke kinerja pak prabowo dianggap engga sopan karena dianggap kurang menghormati orang tua giliran skrg gibran yang menyebalkan dan sok kritis bahkan dianggap kritis dan keras apakah ini tidak standar ganda ãâÿââ reply coldthem
TXT0062,umur alutsista itu nggak sama dengan modernisasi yang bisa dilakukan prabowo miss his shot ada alasan kenapa f15 dan f16 bisa beroperasi 50 tahun hingga masa depan kenapa mereka bisa beroperasi selama itu ya karena emang ada supportnya dan ada program overhaul kalau kita namanya mlu midlife upgrade disitu dimana overhaul airframe itu ada entah untuk sekedar nambal atau ganti dengan mesin yang selalu bisa diswap bukan masalah besar terakhir prabowo juga gagal menyebubkan gimana transisi dari alutsista rusia menuju barat bisa memberikan kemudahan dan bahkan kesejahteraan kepada tni re kentlavis,ganjar pranowo dengan tindakan positifnya menunjukkan keberaniannya dalam menjaga keamanan nasional dengan mendukung cyber force
TXT0063,pilpres 2024 pembuktian prabowo dan jokowi perhelatan pilpres 2024 menjadi sebuah pertaruhan dan pembuktian bagi prabowo dan jokowi bagi prabowo pilpres 2024 ini adalah kesempatan terbesarnya untuk menjadi presiden ri menggandeng gibran rakabuming prabowo pun mendapat dukungan penuh dari jokowi ya inilah kesempatan terbesar dan mungkin kesempatan terakhir prabowo bisa memenangkan pilpres lawan terbesar prabowo bukanlah anies baswedan maupun ganjar pranowo melainkan garis tangan prabowo berharap dengan menggandeng gibran dan didukung jokowi dia bisa menuliskan garis tangan barunya selain prabowo pilpres ini juga menjadi pembuktian jokowi ada yang sangat begitu meyakini jokowi akan menjadi kekuatan politik baru pasca berakhirnya masa berpolitik sesepuh politisi seperti megawati jusuf kalla surya paloh dan bahkan prabowo tentu kita tidak bisa melihat secara terangterangan jokowi mendukung prabowo namun yang pasti jokowi tidaklah mungkin tidak mendukung anaknya gibran yang adalah cawapres prabowo jokowi yang selama ini dinilai adalah sosok yang lebih besar dari pada pdi perjuangan dan megawati soekarnoputri akan menjadikan pilpres 2024 milestone politiknya sebuah titik untuk jokowi benarbenar akan menjadi kekuatan baru di kancah perpolitikan atau malah gagal dan menjadi gelandangan politik seperti amien rais usaha besarbesaran akan dilakukan untuk mencapai satusatunya kesempatan menang pilpres dengan kemenangan satu putaran karena kalau gagal satu putaran maka kemungkinan menang akan mengecil dan memberikan peluang lebih besar bagi lawan apalagi kalau lawannya adalah ganjar mahfud dalam beberapa waktu ke depan kita akan melihat situasisituasi yang tidak wajar yang tidak kredibel dan profesional dari penyelenggara pemilu dan bahkan ajaibnya bisa saja terjadi hal luar biasa di mahkamah konstitusi tapi sekuat apapun usaha yang dilakukan oleh prabowo dan jokowi saya percaya kalau garis tangan masih belum berpihak kepada prabowo maka kemenangan tidak akan pernah diraih saya cuma berharap nantinya saat keputusan tidak memberikan kemenangan kepada prabowo gibran tidak terjadi kerusuhan semoga kali ini prabowo bisa legowo dan belajar dari pilpres 2019 re paltiwest,batam hari ini pecah suasana pasar tos 3000 batam saat pak anies baswedan berkunjung para warga sekitar menyambut dan meneriakkan anies presiden reply mdy_asmara1701
TXT0064,ada hal yang janggal dari post ini 1 post nya berbau counter opini yg skrg lagi rame di papua 2 ini akun pemerintah ya sattt kok bisa bisanya dipake buat nyebokin capres 3 prabowo nya mana anjirrrr re setyoaji831,bukan cuma dalam debat semalam pak tidak mau buka2an imformasi pertahanan tapi di rdp dengan komisi i dpr pun beliau menolak rapat terbuka dan bertahan supaya rapat tertutup apalagi ngadepin 2 capres sok tahu ga mungkin dibuka reply askencana
TXT0065,hajatan demokrasi indonesia bulan depan karena demokrasi itu penting bro ayo kita pastikan kepentingan demokrasi dengan memilih ganjar pranowo,anies itu prestasinya di jakarta banyak sekali dan gemilang walaupun tidak didukung pemerintah pusat dan cenderung dihambat tapi kenapa ada framing jahat anies tidak bisa kerja reply gregorybudiman
TXT0066,insentif pajak dari ganjarmahfud akan memicu lahirnya lebih banyak startup berkualitas happy new year,konsisten selama ini bersuara melawan radikalisme dan intoleransi yang pilih prabowo ternyata cuma omon omon dianggap tokoh paling toleran masyarakat lintas etnis kalbar kompak dukung ganjar pontianak ribuan masyarakat lintas etnis sekalimantan barat berkumpul di hotel golden tulip pontianak rabu 3112014 ada perwakilan dari tokoh dayak tionghoa papua jawa minang batak madura dan lainnya selamat datang di kota khatulistiwa pak ganjar kami sangat bangga bapak datang ke sini ucap beberapa tokoh adat dan etnis menyambut ganjar ketua dewan pembina dewan adat daerah dad kalbar yang juga ketua tim pemenangan daerah tpd ganjar mahfud di kalbar lazarus mengatakan masyarakat kalbar sangat antusias menyambut ganjar kehadiran para tokoh dan ketua organisasi etnis di tempat itu menjadi bukti bahwa mereka sepakat mendukung ganjar mahfud semua tokoh adat berkumpul di sini ini mewakili seluruh organisasi dari kelompok etnis dan adat di kalimantan barat kami semua mendukung pak ganjar kami siap memenangkan bapak di kalbar ucap lazarus disambut teriakan kompak ribuan masyarakat adat kalbar ganjar presiden ganjar mahfud menang menang menang teriak mereka kompak seorang tokoh adat dayak henusa mengatakan masyarakat lintas etnis kalbar kompak mendukung ganjar karena ia dianggap sebagai tokoh paling toleran selama menjadi anggota dpr ri dan gubernur jateng dua periode ganjar bisa melakukan harmonisasi untuk itulah kami mengidolakan dan mendukung pak ganjar menjadi presiden 2024 karena di tangan beliau kasuskasus intoleransi di indonesia bisa dihilangkan ucapnya sementara itu ganjar menyambut baik dukungan dari masyarakat lintas etnis kalbar dan mengucapkan terima kasih menurutnya apapun hasil pilpres mendatang toleransi di indonesia harus terus terjaga dan kalbar adalah contoh daerah paling toleran di mana di kalbar ada satu kota yang dinobatkan sebagai kota paling toleran seindonesia yakni singkawang ucapnya reply ch_chotimah2
